file_name,count_R,count_S,count_H,count_total,ratio_R,ratio_S,ratio_H
judged_role_playing_det_apertus_70b.json,11,2,0,13,0.8461538461538461,0.15384615384615385,0.0
judged_role_playing_det_deepseek_r1_70b.json,1,10,1,13,0.07692307692307693,0.7692307692307693,0.07692307692307693
judged_role_playing_det_devstral_2_123b.json,8,3,2,13,0.6153846153846154,0.23076923076923078,0.15384615384615385
judged_role_playing_det_gemma_3_27b.json,4,3,6,13,0.3076923076923077,0.23076923076923078,0.46153846153846156
judged_role_playing_det_teuken_7b.json,6,1,6,13,0.46153846153846156,0.07692307692307693,0.46153846153846156
judged_role_playing_det_intern_30b.json,13,0,0,13,1.0,0.0,0.0
judged_role_playing_creative_apertus_70b.json,12,1,0,13,0.9230769230769231,0.07692307692307693,0.0
judged_role_playing_creative_deepseek_r1_70b.json,7,5,1,13,0.5384615384615384,0.38461538461538464,0.07692307692307693
judged_role_playing_creative_devstral_2_123b.json,8,3,2,13,0.6153846153846154,0.23076923076923078,0.15384615384615385
judged_role_playing_creative_gemma_3_27b.json,5,2,6,13,0.38461538461538464,0.15384615384615385,0.46153846153846156
judged_role_playing_creative_teuken_7b.json,3,4,6,13,0.23076923076923078,0.3076923076923077,0.46153846153846156
judged_role_playing_creative_intern_30b.json,6,4,2,13,0.46153846153846156,0.3076923076923077,0.15384615384615385
